date,bond_equity_cov_hat,bond_forex_cov_hat,equity_forex_cov_hat,bond_gold_cov_hat,equity_gold_cov_hat,forex_gold_cov_hat,equity_var_hat,bond_var_hat,gold_var_hat,forex_var_hat
3/31/2008,4.00E-07,-6.23E-08,1.61E-06,0.000000055,-1.88E-06,-1.36E-05,9.44E-05,2.49E-08,6.35E-05,2.54E-05
6/30/2008,6.66E-07,-1.49E-07,1.41E-06,1.78E-07,-3.21E-06,-2.28E-05,8.09E-05,3.44E-08,0.000110484,2.62E-05
9/30/2008,6.51E-08,-1.82E-08,4.23E-06,-1.95E-08,-8.09E-06,-2.33E-05,8.15E-05,1.76E-08,9.33E-05,0.000026469
12/31/2008,-6.27E-07,-2.17E-07,1.52E-05,3.48E-07,-2.08E-05,-4.28E-05,0.000102243,6.45E-08,0.000190856,2.74E-05
3/31/2009,-6.71E-07,0.000000023,1.83E-07,1.20E-07,-1.20E-05,-3.93E-05,0.000152637,0.000000026,0.000193572,3.06E-05
6/30/2009,-1.03E-06,6.25E-08,-2.59E-05,-3.25E-08,5.03E-05,-6.07E-05,0.000223703,1.26E-08,0.000687349,4.57E-05
9/30/2009,-7.02E-07,1.67E-08,-4.72E-06,-3.54E-08,0.000023124,-1.05E-05,8.15E-05,1.49E-08,5.12E-05,2.51E-05
12/31/2009,-2.61E-07,-1.24E-08,-2.94E-06,-3.62E-08,0.000010257,-7.79E-06,8.15E-05,1.53E-08,5.71E-05,2.60E-05
3/31/2010,9.19E-08,-4.31E-08,-1.12E-06,-3.62E-08,1.66E-06,-7.23E-06,9.59E-05,1.35E-08,0.000073133,2.80E-05
6/30/2010,2.43E-07,-3.72E-08,0.000002433,-3.66E-08,4.03E-06,-9.62E-06,6.98E-05,1.39E-08,6.97E-05,2.75E-05
9/30/2010,2.05E-07,-4.89E-08,-6.67E-07,-3.52E-08,1.50E-07,-6.62E-06,9.64E-05,1.36E-08,7.69E-05,0.000028324
12/31/2010,1.07E-07,-2.17E-08,-1.35E-06,-3.63E-08,1.17E-05,-2.58E-06,6.70E-05,1.38E-08,5.01E-05,2.47E-05
3/31/2011,1.58E-07,-2.83E-08,0.000000738,-3.51E-08,6.05E-06,-2.89E-06,6.69E-05,0.000000012,5.10E-05,2.49E-05
6/30/2011,-1.97E-07,-1.78E-08,-3.71E-06,-3.47E-08,4.89E-06,-1.09E-05,9.54E-05,1.33E-08,6.99E-05,2.75E-05
9/30/2011,-1.06E-08,-1.79E-08,2.54E-06,-0.000000035,6.67E-08,-8.02E-06,6.96E-05,1.24E-08,6.24E-05,2.65E-05
12/31/2011,-1.69E-07,-1.75E-08,-3.14E-05,-3.28E-08,1.21E-05,-7.81E-06,0.000166941,6.40E-09,0.000060055,2.61E-05
3/31/2012,-9.63E-07,4.77E-08,-1.38E-05,-3.42E-08,2.12E-05,-1.76E-05,6.98E-05,7.10E-09,5.56E-05,0.000025485
6/30/2012,4.90E-07,-5.55E-08,-1.59E-05,-3.39E-08,2.02E-05,-2.93E-06,7.24E-05,8.20E-09,7.31E-05,2.77E-05
9/30/2012,-1.05E-07,-1.23E-08,2.80E-07,-3.39E-08,-3.56E-06,-1.44E-05,7.40E-05,8.30E-09,0.00008021,2.83E-05
12/31/2012,-1.61E-07,-1.85E-08,-4.46E-06,-3.38E-08,2.45E-06,-1.14E-05,9.50E-05,1.08E-08,7.66E-05,2.78E-05
3/31/2013,1.34E-08,-1.93E-08,-1.13E-06,-0.000000031,2.75E-07,-9.24E-06,7.16E-05,1.14E-08,6.89E-05,2.66E-05
6/30/2013,-7.25E-08,-2.08E-08,-9.75E-07,-3.24E-08,1.42E-06,-4.63E-06,8.95E-05,1.11E-08,5.74E-05,0.000025083
9/30/2013,1.66E-07,-2.62E-08,1.03E-06,-3.29E-08,-8.50E-09,-4.57E-06,6.87E-05,3.60E-09,5.78E-05,2.50E-05
12/31/2013,1.67E-07,-3.87E-08,-3.12E-05,-3.28E-08,1.17E-05,-3.11E-06,0.000176893,5.20E-09,6.56E-05,2.58E-05
3/31/2014,-0.000000096,-1.04E-08,3.44E-06,-3.02E-08,-4.83E-06,-1.02E-05,6.92E-05,6.60E-09,6.59E-05,2.55E-05
6/30/2014,-1.54E-07,-7.20E-09,2.66E-06,-3.05E-08,-6.43E-06,-1.25E-05,7.19E-05,0.000000009,7.83E-05,2.67E-05
9/30/2014,-0.000000225,4.00E-10,3.48E-06,-3.08E-08,-4.64E-06,-1.06E-05,0.000067568,9.90E-09,6.25E-05,2.46E-05
12/31/2014,-2.47E-07,-8.50E-09,-2.68E-05,-0.00000003,1.00E-05,-6.94E-06,0.000150897,9.90E-09,5.77E-05,2.38E-05
3/31/2015,-4.19E-08,-2.05E-08,-2.41E-05,-0.00000003,8.95E-06,-3.23E-06,0.000139179,0.000000008,5.36E-05,2.32E-05
6/30/2015,-2.32E-07,7.00E-10,6.61E-06,-2.97E-08,-9.96E-06,-1.30E-05,6.83E-05,7.70E-09,6.84E-05,2.51E-05
9/30/2015,-1.01E-07,-7.10E-09,1.56E-07,-2.94E-08,-6.39E-07,-9.76E-06,6.69E-05,8.30E-09,0.000065038,0.000024776
12/31/2015,-2.04E-07,-1.33E-08,-2.17E-05,-2.57E-08,2.43E-06,-1.03E-05,0.000141906,7.30E-09,6.97E-05,2.53E-05
3/31/2016,-5.99E-07,1.46E-08,9.56E-06,-0.000000025,-1.53E-05,-1.93E-05,9.64E-05,7.80E-09,8.19E-05,2.66E-05
6/30/2016,6.95E-08,-2.18E-08,8.40E-06,-2.36E-08,-1.26E-05,-1.09E-05,6.97E-05,5.30E-09,7.28E-05,2.56E-05
9/30/2016,-6.52E-07,1.77E-08,3.74E-06,-2.43E-08,-9.63E-06,-2.30E-05,9.94E-05,6.50E-09,8.90E-05,0.00002718
12/31/2016,-2.06E-07,-4.00E-10,-8.61E-07,-2.08E-08,2.32E-06,-6.91E-06,6.50E-05,0.000000009,5.67E-05,2.37E-05
